trunk_id,name,status,scope,primary_question,boundary_notes,parent_trunk,owner,last_updated,visibility
T01,Cannabis Neuroadaptation,ACTIVE,"CB1 plasticity, potency, chronic exposure, state-dependent learning, effort allocation, autonomic state, commercialization and environmental-system interaction.","What exposure transitions changed physiology, and what systems can observe, reinforce, model or exploit the resulting states?","Do not infer intentional population conditioning without separate evidence.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T02,"Methamphetamine, Synthetic Supply, and Physiological State",ACTIVE,"Industrial supply transition, price compression, purity/adulteration, neuroadaptation, sleep deprivation, autonomic/thermal signatures, behavioral visibility, procurement and enforcement incentives.","How did the supply transition change physiological states, visibility, predictability and institutional responses?","Separate supply, physiology, institutional response, and intent.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T03,Mirrors and Reflective Interfaces,ACTIVE,"Spectral reflection/absorption, polarization, coatings, vibration, laser vibrometry, structured light, NLoS sensing and thermal behavior.","When does a reflective surface become a sensing, transmission, filtering or actuation interface?","Separate measured optical properties from metaphor and folklore.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T04,LED and Controlled Illumination,ACTIVE,"Semiconductor emitters, drivers, spectra, flicker, modulation, visible-light communication, structured illumination, camera support, circadian effects and smart-light networking.","What secondary sensing, communication and actuation capabilities accompanied the lighting-efficiency transition?","Separate regulatory rationale, technical affordance, deployment and intent.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T05,"Lead Paint, Walls, and Building-Material Transitions",ACTIVE,"Paint chemistry, plaster/drywall, metal lath, insulation, foil, reinforcement, coatings, windows and frequency-specific propagation before and after renovation.","Did modernization alter residential electromagnetic, optical, thermal or vibrational permeability?","Study complete assemblies; do not reduce to a universal claim that lead pigment blocks RF.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T06,Wi-Fi Channel State Information,ACTIVE,"Occupancy, motion, respiration, gait, gesture, localization, identity inference, through-obstruction sensing, IEEE 802.11bf and edge processing.","How did communication infrastructure become a distributed environmental sensing field?","Track laboratory, product, standard and deployment stages separately.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T07,Thermal and Infrared Visibility,ACTIVE,"Temperature distribution, circulation, stress correlates, inflammation, respiration, presence, sleep/activity, transmission and inference limits.","Which physiological states are externally visible in infrared and under what conditions?","Do not equate laboratory classification with reliable emotion identification.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T08,Contactless Optical Physiology,ACTIVE,"Remote photoplethysmography, respiration, HRV, oxygenation estimates, gaze, pupillometry, micro-movement, illumination, compression and identity linkage.","What involuntary physiology can cameras extract, retain and connect to identity?","Log capture constraints and error modes.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T09,"Radar, RF, and Through-Barrier Sensing",ACTIVE,"Doppler, phase, time of flight, UWB, mmWave, respiration, cardiac micromotion, posture, occupancy, gesture and through-wall signs of life.","Where are contactless RF capabilities operational, integrated and retained?","Range and resolution must be frequency- and environment-specific.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T10,Mathematics of Convergence,ACTIVE,"Observability, controllability, coupling, stability, state estimation, sensor fusion, inverse problems, causal graphs, temporal convergence, capability-disclosure gaps and coupled human-AI stability.","When do independent capabilities become an operational closed loop rather than a coincidental collection, and when does declared state diverge from functional state?","Public scope excludes protected formulas, weights, thresholds and proprietary implementations.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T11,"Smart Power, Meters, and Electrical Infrastructure",OPEN,"Appliance disaggregation, occupancy inference, power-line communication, drivers, inverters, harmonics, control and data retention.","What behavior and occupancy become visible through electrical infrastructure?","Adjacent trunk pending source harvest.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T12,"Acoustic, Ultrasonic, and Vibrational Systems",OPEN,"Microphones, speakers, ultrasonic signaling, ranging, acoustic scene analysis, solid-surface vibration and vibrometry.","How do ordinary sound and solid surfaces become sensing or signaling channels?","Adjacent trunk pending source harvest.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T13,"Windows, Glass, Coatings, and Selective Transmission",OPEN,"Low-emissivity glass, conductive coatings, tint, smart glass, RF/IR transmission, reflection, shielding and visibility.","How did window and coating transitions alter selective access to signals?","Closely linked to building-material and thermal trunks.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T14,Algorithmic Media and Closed-Loop Stimulus Systems,ACTIVE,"Adaptive feeds, recommendation, reinforcement, state-aware delivery, digital signage, behavioral feedback, feedback capture and human-algorithm control topology.","When does measurement-driven personalization become a state-responsive actuator loop?","Separate general engagement optimization from physiological-state targeting and separate functional consequence from intent.",,MT Tech Industries LLC,2026-07-03,PUBLIC
T15,"Mobile, Wearable, Vehicle, and Smart-Building Sensor Fusion",OPEN,"Phones, watches, earbuds, vehicles, thermostats, cameras, microphones, inertial sensors, location and physiological-shadow modeling.","Which multimodal systems construct persistent state models tied to identity?","Integration trunk; retain links to component trunks.",,MT Tech Industries LLC,2026-07-03,PUBLIC
