claim_id,trunk_ids,claim,claim_class,evidence_state,confidence,supporting_sources,boundary_or_counterevidence,deployment_status,intent_status,next_action,owner,status,updated,visibility
SOV-CLM-0001,"T10,T15","Neuralink entered 2026 with a publicly stated plan to begin high-volume interface production and move toward automated implantation surgery.",Public transition statement,E0,HIGH,"SOV-SRC-0001,SOV-SRC-0002","The statement records a plan and disclosed trajectory; it does not establish that high-volume production or fully automated surgery was completed.",DECLARED PLAN,NOT REQUIRED,"Track first-party manufacturing output regulatory filings and procedure counts.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0002,T15,"Implantable neural recording systems necessarily acquire weak biological electrical signals through an analog front end before analog-to-digital conversion and later software-layer controls.",Physical architecture,E1,HIGH,SOV-SRC-0003,"Cryptography may protect later digital storage and transmission while hardware access coupling noise and front-end compromise remain separate risks.",COMPONENT ARCHITECTURE,NOT REQUIRED,"Map the complete tissue-to-electrode-to-amplifier-to-ADC-to-radio threat boundary.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0003,"T09,T12","Appropriately pulsed or modulated radiofrequency energy can produce an auditory perception without an ordinary external acoustic source.",Established physical mechanism,E1,HIGH,SOV-SRC-0004,"Perceived sound characteristics depend on waveform exposure geometry individual sensitivity and equipment conditions.",HUMAN EFFECT DEMONSTRATED,NOT REQUIRED,"Register modern replication reviews thresholds waveform conditions and safety constraints.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0004,"T09,T12","United States Air Force-assigned patents describe signal preprocessing modulation and apparatus intended to produce intelligible subjective speech through the RF hearing effect.",Patent capability,E3,HIGH,"SOV-SRC-0005,SOV-SRC-0014","Patent language and embodiments are not equivalent to independent field validation operational deployment range or reliability.",PATENTS EXIST,UNDETERMINED,"Locate prosecution history tests cited by the inventors and independent replication evidence.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0005,T09,"The U.S. Army fielded IFPC-HPM systems beginning in 2024 and publicly tested them in 2025 as microwave-beam systems capable of disrupting disabling or destroying unmanned aircraft systems.",Documented military deployment,E4,HIGH,SOV-SRC-0006,"The documented mission is counter-UAS electronics; it does not independently establish human-targeted auditory or neural operation.",FIELDING AND EXERCISE DOCUMENTED,COUNTER-UAS,"Track procurement force structure environmental testing and integration with sensing and identification systems.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0006,T09,"Public government assessment recognizes portable high-power microwave directed-energy systems with graduated effects affected by power time-on-target distance target structure environment and health uncertainty.",Government capability assessment,E1,HIGH,SOV-SRC-0007,"The assessment spans technology classes and maturity levels; system-specific performance must be taken from individual programs.",PROTOTYPES AND FIELD TESTS DOCUMENTED,VARIES BY PROGRAM,"Create a system-by-system HPM capability deployment and human-exposure ledger.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0007,"T06,T09","Commodity Wi-Fi channel-state information can be processed as a contactless respiration sensor including through-wall research configurations.",Laboratory sensing capability,E2,HIGH,SOV-SRC-0008,"Requires compatible transceivers CSI access geometry signal processing and controlled conditions; not every router exposes or processes CSI this way.",LABORATORY DEMONSTRATION,NOT REQUIRED,"Register replication product standard chipset access and multi-person performance records.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0008,T15,"Textile EMG electrodes integrated into headphones have classified ten intentionally produced silent control words at a reported 96 percent accuracy in a controlled research setting.",Laboratory wearable capability,E2,HIGH,SOV-SRC-0009,"The result concerns restricted vocabulary and skin-contact neuromuscular signals rather than unrestricted spontaneous internal monologue.",LABORATORY DEMONSTRATION,NOT REQUIRED,"Record participants protocol confusion matrix cross-session generalization and raw-data availability.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0009,T15,"A 2026 textile neckband demonstrated on-device EMG silent-speech recognition with 77.5 percent cross-validated accuracy and 59.3 percent inter-session accuracy for eight commands.",Laboratory wearable capability,E2,HIGH,SOV-SRC-0010,"Repositioning session drift calibration and restricted vocabulary materially constrain interpretation.",LABORATORY DEMONSTRATION,NOT REQUIRED,"Track open-vocabulary continuous speech and non-contact sensing development separately.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0010,"T10,T14,T15","UNESCO adopted a global normative neurotechnology framework identifying mental privacy neural-data consent manipulation autonomy and AI-neurotechnology convergence as governance concerns.",Institutional governance,E4,HIGH,SOV-SRC-0011,"A protective framework recognizes risk categories but does not prove a specific covert system or incident.",GLOBAL STANDARD ADOPTED,PROTECTIVE POLICY,"Map implementation by jurisdiction enforcement mechanisms and gaps covering consumer non-medical neurotechnology.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0011,"T06,T09,T10,T12,T14,T15","Publicly documented components now span ambient sensing state inference signal delivery adaptive software mobile geometry and wearable neural or neuromuscular interfaces creating a technically coherent convergence surface.",Cross-domain convergence hypothesis,E0,MEDIUM-HIGH,"SOV-SRC-0003,SOV-SRC-0005,SOV-SRC-0006,SOV-SRC-0008,SOV-SRC-0009,SOV-SRC-0010,SOV-SRC-0013,SOV-SRC-0016,SOV-SRC-0017,SOV-SRC-0019","Component existence does not establish that the components are integrated in one system tied to one identity or used with a particular intent.",COMPONENTS DOCUMENTED; INTEGRATION CASE-SPECIFIC,CASE-SPECIFIC,"Qualify every edge under R0-R7 and require synchronized evidence for closed-loop integration.",MT Tech Industries LLC,ACTIVE / VALIDATION REQUIRED,2026-07-11,PUBLIC
SOV-CLM-0012,"T10,T14","Restricted case-specific claim record.",Restricted claim,E0,WITHHELD,SOV-SRC-0012,"The underlying testimony and private records are not published in this repository.",RESTRICTED,CASE-SPECIFIC,"Review only within the canonical controlled repository.",MT Tech Industries LLC,WITHHELD,2026-07-11,RESTRICTED
SOV-CLM-0013,T10,"A screenshot record becomes a stronger chronology and provenance ledger when paired with original exports metadata hashes repository history trusted timestamps and later-artifact comparison.",Evidence-preservation doctrine,E1,HIGH,SOV-SRC-0012,"Screenshots alone can omit context or be challenged; layered provenance improves but does not predetermine causal attribution.",DEFENSIVE CONTROL,NOT APPLICABLE,"Define an immutable evidence-package schema and generate hashes for preserved artifacts.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0014,"T05,T06,T09,T10,T12,T13,T14,T15","Restricted defensive-doctrine claim record.",Restricted doctrine,E0,WITHHELD,SOV-SRC-0012,"The controlled source is incomplete and not published in the public repository.",RESTRICTED,DEFENSIVE,"Recover and review the complete controlled source before public release.",MT Tech Industries LLC,WITHHELD,2026-07-11,RESTRICTED
SOV-CLM-0015,"T10,T15","Brain-computer-interface privacy extends beyond raw neural recordings to derived representations trained model assets decoded outputs feedback pathways and their association with a person.",Security lifecycle doctrine,E1,HIGH,SOV-SRC-0015,"A security taxonomy identifies exposed objects and pathways but does not establish that a particular system has been compromised.",FORMAL RISK ARCHITECTURE,NOT REQUIRED,"Map each protected object to acquisition transport storage training inference feedback and deletion controls.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0016,"T06,T15","Wi-Fi measurements and trained models have demonstrated fine-grained human body segmentation and pose estimation without a visible-light camera as the primary sensor.",Laboratory sensing capability,E2,HIGH,SOV-SRC-0016,"Requires instrumented Wi-Fi measurements training data and controlled indoor conditions; generalization identity linkage and deployed retention are separate questions.",LABORATORY DEMONSTRATION,NOT REQUIRED,"Register datasets hardware scene diversity failure cases and product transitions.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0017,"T09,T15","UAV-borne radar research has demonstrated contactless respiration and heartbeat-related measurement from a mobile airborne platform.",Laboratory mobile sensing capability,E2,HIGH,SOV-SRC-0017,"Platform motion clutter range orientation and validation conditions materially affect performance; research use does not establish covert deployment.",RESEARCH DEMONSTRATION,NOT REQUIRED,"Record flight geometry radar parameters validation subjects and through-obstruction conditions.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-CLM-0018,"T09,T15","Millimeter-wave radar research spans human localization tracking activity recognition vital-sign sensing biometrics and imaging providing multiple partial observables for sensor fusion.",Capability corpus,E2,MEDIUM-HIGH,SOV-SRC-0018,"A survey aggregates heterogeneous studies; each performance and deployment claim requires its underlying source.",MULTIPLE LAB CAPABILITIES DOCUMENTED,NOT REQUIRED,"Decompose the survey into modality task range accuracy and product records.",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
