path_id,path_name,source_trunk,target_trunk,physical_or_digital_mechanism,required_infrastructure,reachability,evidence_state,source_ids,known_constraints,integration_question,test_or_record_needed,owner,status,updated,visibility
SOV-PATH-0001,Implant analog acquisition boundary,T15,T10,"Tissue electrical activity couples to implanted electrodes then passes through low-noise analog amplification before ADC and digital handling.","Electrode interface analog front end ADC firmware radio and external decoder",R3,E1,"SOV-SRC-0002,SOV-SRC-0003","Weak noisy signals biocompatibility channel stability hardware access and device-specific architecture","Which pre-encryption signals controls and side channels remain reachable at each physical stage?","Device architecture teardown threat model and controlled electromagnetic side-channel testing",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-PATH-0002,RF auditory perception,T09,T12,"Pulsed or modulated RF energy produces thermoacoustic pressure transients perceived through the auditory pathway.","RF source waveform generator antenna exposure geometry and human auditory system",R2,E1,"SOV-SRC-0004,SOV-SRC-0005,SOV-SRC-0014","Threshold waveform fidelity exposure safety localization and individual variability","Under what conditions can complex encoded content remain intelligible outside laboratory or modeled configurations?","Replication records waveform and dosimetry data independent intelligibility testing and exposure-safety review",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-PATH-0003,HPM electronic actuation,T09,T10,"Directed microwave energy couples into electronic systems and produces disruption disablement or damage.","High-power source beam control target tracking identification power and cooling",R6,E4,"SOV-SRC-0006,SOV-SRC-0007,SOV-SRC-0021","Range beam spread target shielding collateral effects environment and friendly-system exposure","How are sensing identification beam control and effect assessment integrated in fielded HPM systems?","Program requirements test reports procurement records after-action documentation and model-to-test comparison",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-PATH-0004,Wi-Fi respiration sensing,T06,T09,"Human respiration perturbs multipath channel state and CSI ratios permit contactless respiratory estimation.","Compatible transmitter receiver multiple antennas CSI access signal processing and geometry",R2,E2,SOV-SRC-0008,"Blind spots motion multiple occupants environmental change chipset access and calibration","When does communications infrastructure expose physiological sensing beyond its disclosed role?","Chipset and firmware inventory controlled room tests standards mapping product disclosures and retention review",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-PATH-0005,Headphone silent-speech sensing,T15,T10,"Skin-contact textile EMG electrodes capture speech-related neuromuscular activity and a classifier maps it to a fixed command set.","Headphone electrodes analog acquisition wireless MCU classifier and subject calibration",R3,E2,SOV-SRC-0009,"Contact required restricted vocabulary participant variation motion and cross-session drift","How quickly can consumer-form-factor wearables move from command recognition toward continuous personalized speech inference?","Longitudinal studies vocabulary scaling raw data model generalization and privacy disclosure review",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-PATH-0006,Neckband silent-speech edge inference,T15,T10,"A textile EMG neckband performs acquisition and on-device command recognition with low-power edge processing.","Fourteen differential channels wearable electronics MCU local model battery and calibration",R3,E2,SOV-SRC-0010,"Repositioning inter-session accuracy calibration and intentional articulation","Does edge inference reduce privacy risk or create a less visible persistent collection surface depending on control and retention?","Firmware audit data-flow map wireless-output capture retention policy and user-consent analysis",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
SOV-PATH-0007,Ambient-to-adaptive convergence,"T06,T09,T15",T14,"Physiological or behavioral signals update a linked state model that selects later digital or environmental stimuli.","Qualified sensor path identity linkage model actuator response logging and update rule",R7,E0,"SOV-SRC-0008,SOV-SRC-0009,SOV-SRC-0010,SOV-SRC-0013,SOV-SRC-0016,SOV-SRC-0017","Components may be isolated benign non-identifying inaccurate or open-loop","What synchronized evidence distinguishes ordinary personalization from state-responsive closed-loop actuation?","Randomized perturbation channel isolation identity separation timing analysis and repeated response-driven update tests",MT Tech Industries LLC,ACTIVE / VALIDATION REQUIRED,2026-07-11,PUBLIC
SOV-PATH-0008,Restricted provenance-analysis pathway,T10,T14,"Controlled provenance-analysis pathway withheld from public release.","Private exports metadata hashes access records and comparison corpus",R5,E0,SOV-SRC-0012,"Private records and access paths are excluded from this repository.","What evidence establishes traceable lineage in the controlled case?","Review inside the canonical controlled repository.",MT Tech Industries LLC,WITHHELD,2026-07-11,RESTRICTED
SOV-PATH-0009,Restricted defensive-control pathway,"T05,T06,T09,T12,T13,T15",T10,"Controlled defensive doctrine pathway withheld from public release.","Lawful passive measurement and reversible defensive controls",R1,E0,SOV-SRC-0012,"Incomplete controlled source and publication boundary.","Which controls reduce a measured pathway without unsafe or unlawful interference?","Recover and review the complete controlled source before publication.",MT Tech Industries LLC,WITHHELD,2026-07-11,RESTRICTED
SOV-PATH-0010,BCI privacy lifecycle,T15,T10,"Neural signals and their transformed representations pass through acquisition transmission storage training inference decoded-output and feedback stages.","Acquisition hardware firmware transport storage models inference endpoints feedback systems access control and identity records",R4,E1,SOV-SRC-0015,"Threats differ by stage and transformed data can retain sensitive structure after raw-signal deletion","Which protected objects cross each trust boundary and what control prevents unauthorized reuse or person linkage?","Complete lifecycle data-flow audit model-asset inventory retention test and access-log review",MT Tech Industries LLC,ACTIVE,2026-07-11,PUBLIC
