source_id,title,type,trunk_ids,author_org,date,url,evidence_supported,reliability_notes,key_contribution,access_status,status,updated
SOV-SRC-0001,Neuralink plans high-volume brain implant production by 2026,News report,"T10,T15",Reuters,2026-01-01,https://www.reuters.com/business/healthcare-pharmaceuticals/musk-says-neuralink-start-high-volume-production-interface-devices-by-2026-2026-01-01/,E0,"Reports Elon Musk's stated 2026 production and automated-surgery plan; a declared plan is not evidence that high-volume production was completed.",Dates and preserves the production announcement that opened the session.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0002,Two Years of Telepathy,Company technical update,T15,Neuralink,2026-01-28,https://neuralink.com/updates/two-years-of-telepathy/,E3,"First-party company update; useful for product state and disclosed performance but not independent validation.",Documents Neuralink's disclosed clinical and engineering trajectory in early 2026.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0003,A mixed-signal analogue front-end for brain-implantable neural interfaces using a digital fixed-point IIR filter and bulk offset cancellation,Technical paper,T15,"Dimitris Antoniadis; Timothy G. Constandinou",2025-11-16,https://arxiv.org/abs/2511.12540,E1-E2,"Engineering paper describing an analog neural-recording front end with amplification before analog-to-digital conversion.",Supports the pre-digitization physical acquisition boundary in implantable neural interfaces.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0004,Human auditory system response to modulated electromagnetic energy,Peer-reviewed paper,"T09,T12",Allan H. Frey,1962-07,https://doi.org/10.1152/jappl.1962.17.4.689,E1,"Foundational human experiment; historical apparatus and exposure conditions must be retained when applying results to modern systems.",Establishes human auditory perception induced by appropriately modulated electromagnetic energy.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0005,Method and device for implementing the radio frequency hearing effect,U.S. patent,"T09,T12",United States Department of the Air Force,2002-10-22,https://patents.google.com/patent/US6470214B1/en,E3,"A patent establishes a claimed design and government-assigned engineering work; it does not by itself establish operational fielding or independent performance validation.",Describes preprocessing and suppressed-carrier modulation intended to produce intelligible subjective speech through the RF hearing effect.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0006,US Army Philippine Air Force test counter-drone systems at Balikatan 2025,Official military report,T09,U.S. Army,2025-05-01,https://www.army.mil/article/285095/us_army_philippine_air_force_test_counter_drone_systems_at_balikatan_2025,E4,"Official deployment and exercise account; mission focus is counter-UAS electronics rather than human neural effects.",Documents Army fielding and live testing of a microwave beam system that disrupts disables or destroys drone systems.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0007,Science and Tech Spotlight: Directed Energy Weapons,Government technology assessment,T09,U.S. Government Accountability Office,2023-05-25,https://www.gao.gov/products/gao-23-106717,E1-E4,"Authoritative public overview; summarizes classes and maturity rather than proving every individual system specification.",Documents HPM power scale graduated effects portability limits and health-policy uncertainty.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0008,FarSense: Pushing the Range Limit of WiFi-based Respiration Sensing with CSI Ratio of Two Antennas,Technical paper,"T06,T09",Youwei Zeng et al.,2019-07-09,https://arxiv.org/abs/1907.03994,E2,"Laboratory research with defined transceiver geometry and processing; does not mean every deployed router performs respiration sensing.",Demonstrates commodity-Wi-Fi CSI respiration monitoring including a through-wall configuration and reported eight-meter range.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0009,Wireless Silent Speech Interface Using Multi-Channel Textile EMG Sensors Integrated into Headphones,Technical paper,T15,Chenyu Tang et al.,2025-04-11,https://arxiv.org/abs/2504.13921,E2,"Controlled-vocabulary skin-contact EMG experiment; not unrestricted internal-monologue decoding.",Demonstrates headphone-integrated textile EMG classification of ten intentionally produced silent control words at 96 percent accuracy.,PUBLIC,ACTIVE,2026-07-11
SOV-SRC-0010,SilentWear: an Ultra-Low Power Wearable System for EMG-based Silent Speech Recognition,Technical paper,T15,Giusy Spacone et al.,2026-03-03,https://arxiv.org/abs/2603.02847,E2,"Wearable controlled-command study; repositioning and inter-session performance remain material constraints.",Demonstrates textile-neckband on-device silent-speech recognition and quantifies cross-validation inter-session calibration latency and power.,PUBLIC,ACTIVE,2026-07-11
